"region","byggår","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"0180C1760","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1760","2011-2020",..,..,..,..,1,2,2,2,2,2,2,2,2,2
"0180C1760","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1770","2001-2010",3,3,3,3,3,3,3,3,3,3,3,3,3,3
"0180C1770","2011-2020",..,..,..,..,1,8,9,11,12,14,14,14,14,14
"0180C1770","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,1,1
"0180C1780","2001-2010",3,3,3,3,3,3,3,3,3,3,3,3,3,3
"0180C1780","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1780","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1790","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1790","2011-2020",..,..,1,1,1,2,2,3,11,11,11,11,11,11
"0180C1790","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1800","2001-2010",..,..,..,..,..,3,3,3,3,3,3,3,3,3
"0180C1800","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1800","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1810","2001-2010",1,1,..,..,..,..,..,..,..,..,..,..,1,1
"0180C1810","2011-2020",..,..,..,..,..,..,..,1,..,1,1,1,1,1
"0180C1810","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1820","2001-2010",29,29,29,29,29,29,29,29,29,29,29,29,29,29
"0180C1820","2011-2020",7,30,32,33,33,43,43,43,43,43,43,43,43,43
"0180C1820","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1830","2001-2010",11,11,11,11,11,11,11,11,11,11,11,11,11,11
"0180C1830","2011-2020",9,11,12,12,12,14,16,16,16,19,19,19,20,21
"0180C1830","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,2
"0180C1840","2001-2010",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"0180C1840","2011-2020",..,..,..,..,..,2,2,2,3,3,3,3,3,3
"0180C1840","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
